# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
7011.T,JP,0.073900,Mitsubishi Heavy Industries Ltd
9983.T,JP,0.073700,Fast Retailing Co Ltd
MDLZ,US,0.073500,Mondelez International Inc
SHW,US,0.073100,Sherwin-Williams Co/The
HOOD,US,0.073100,Robinhood Markets Inc
ICICIBANK.NS,IN,0.073100,ICICI Bank Ltd
MUV2.DE,DE,0.072900,Muenchener Rueckversicherungs-Gesellschaft AG in
8031.T,JP,0.072100,Mitsui & Co Ltd
GM,US,0.071700,General Motors Co
1398.HK,HK,0.071600,Industrial & Commercial Bank of China Ltd
CS.PA,FR,0.071600,AXA SA
DDOG,US,0.071500,Datadog Inc
ITW,US,0.071500,Illinois Tool Works Inc
MCO,US,0.071300,Moody's Corp
NSC,US,0.071100,Norfolk Southern Corp
UPS,US,0.071000,United Parcel Service Inc
CMI,US,0.070700,Cummins Inc
NG.L,GB,0.070400,National Grid PLC
ABNB,US,0.070300,Airbnb Inc
6981.T,JP,0.070300,Murata Manufacturing Co Ltd
TGT,US,0.069800,Target Corp
SPCX,US,0.069800,Space Exploration Technologies Corp
MAR,US,0.069300,Marriott International Inc/MD
APP,US,0.069200,AppLovin Corp
ABX.TO,CA,0.069200,Barrick Mining Corp
TRV,US,0.068900,Travelers Cos Inc/The
ORLY,US,0.068200,O'Reilly Automotive Inc
NWG.L,GB,0.068100,NatWest Group PLC
ABI.BR,BE,0.067800,Anheuser-Busch InBev SA/NV
ELV,US,0.067300,Elevance Health Inc
ITX.MC,ES,0.067200,Industria de Diseno Textil SA
KKR,US,0.067000,KKR & Co Inc
ROST,US,0.066500,Ross Stores Inc
CL,US,0.066400,Colgate-Palmolive Co
CI,US,0.066300,Cigna Group/The
NOC,US,0.066300,Northrop Grumman Corp
FDX,US,0.066300,FedEx Corp
6503.T,JP,0.066200,Mitsubishi Electric Corp
MFC.TO,CA,0.065700,Manulife Financial Corp
BSX,US,0.065300,Boston Scientific Corp
HON,US,0.065300,Honeywell International Inc
HLT,US,0.065100,Hilton Worldwide Holdings Inc
4063.T,JP,0.064800,Shin-Etsu Chemical Co Ltd
WPM.TO,CA,0.064100,Wheaton Precious Metals Corp
HPE,US,0.064000,Hewlett Packard Enterprise Co
CNR.TO,CA,0.064000,Canadian National Railway Co
DBK.DE,DE,0.064000,Deutsche Bank AG
ECL,US,0.063700,Ecolab Inc
402340.KS,KR,0.063700,SK Square Co Ltd
0388.HK,HK,0.063400,Hong Kong Exchanges & Clearing Ltd
WBD,US,0.063400,Warner Bros Discovery Inc
CTAS,US,0.063000,Cintas Corp
AJG,US,0.062900,Arthur J Gallagher & Co
APD,US,0.062700,Air Products and Chemicals Inc
AON,US,0.062500,Aon PLC
SPG,US,0.062000,Simon Property Group Inc
RCL,US,0.062000,Royal Caribbean Cruises Ltd
DLR,US,0.061500,Digital Realty Trust Inc
AI.PA,FR,0.060700,Air Liquide SA
ALL,US,0.060700,Allstate Corp/The
URI,US,0.059900,United Rentals Inc
TDG,US,0.059700,TransDigm Group Inc
BKR,US,0.059700,Baker Hughes Co
3711.TW,TW,0.059500,ASE Technology Holding Co Ltd
AEP,US,0.059400,American Electric Power Co Inc
REL.L,GB,0.059400,RELX PLC
CRH,US,0.058800,CRH PLC
DG.PA,FR,0.058700,Vinci SA
PDD,US,0.058700,PDD Holdings Inc
WES.AX,AU,0.058600,Wesfarmers Ltd
NDA-FI.HE,FI,0.058400,Nordea Bank Abp
PCAR,US,0.058400,PACCAR Inc
TEL,US,0.058300,TE Connectivity PLC
6752.T,JP,0.058200,Panasonic Holdings Corp
TRP.TO,CA,0.058100,TC Energy Corp
HCA,US,0.057900,HCA Healthcare Inc
RMS.PA,FR,0.057700,Hermes International SCA
KMI,US,0.057500,Kinder Morgan Inc
ARGX.BR,BE,0.057400,Argenx SE
TRGP,US,0.057300,Targa Resources Corp
MNST,US,0.057200,Monster Beverage Corp
1810.HK,HK,0.057100,Xiaomi Corp
MPWR,US,0.057100,Monolithic Power Systems Inc
TFC,US,0.056800,Truist Financial Corp
LNG,US,0.056800,Cheniere Energy Inc
OKE,US,0.056300,ONEOK Inc
MQG.AX,AU,0.056200,Macquarie Group Ltd
AAL.L,GB,0.055900,Anglo American PLC
CSL.AX,AU,0.055900,CSL Ltd
DB1.DE,DE,0.055900,Deutsche Boerse AG
009150.KS,KR,0.055600,Samsung Electro-Mechanics Co Ltd
COR,US,0.055400,Cencora Inc
DHL.DE,DE,0.055100,DHL AG
EL.PA,FR,0.054900,EssilorLuxottica SA
LSEG.L,GB,0.054800,London Stock Exchange Group PLC
7974.T,JP,0.054600,Nintendo Co Ltd
4502.T,JP,0.054200,Takeda Pharmaceutical Co Ltd
KEYS,US,0.054100,Keysight Technologies Inc
RHM.DE,DE,0.053700,Rheinmetall AG
APO,US,0.053600,Apollo Global Management Inc
BAYN.DE,DE,0.053100,Bayer AG
BHARTIARTL.NS,IN,0.053000,Bharti Airtel Ltd
5803.T,JP,0.052800,Fujikura Ltd
D,US,0.052600,Dominion Energy Inc
CTVA,US,0.052500,Corteva Inc
DVN,US,0.052400,Devon Energy Corp
NXPI,US,0.052400,NXP Semiconductors NV
TER,US,0.052000,Teradyne Inc
FAST,US,0.051900,Fastenal Co
GLE.PA,FR,0.051800,Societe Generale SA
BAS.DE,DE,0.051600,BASF SE
GWW,US,0.051400,WW Grainger Inc
3690.HK,HK,0.051300,Meituan
7741.T,JP,0.051200,Hoya Corp
3988.HK,HK,0.051200,Bank of China Ltd
O,US,0.051100,Realty Income Corp
NUE,US,0.051000,Nucor Corp
SRE,US,0.050900,Sempra
ANG.JO,ZA,0.050800,Anglogold Ashanti Plc
CAH,US,0.050700,Cardinal Health Inc
FIX,US,0.050300,Comfort Systems USA Inc
STAN.L,GB,0.050100,Standard Chartered PLC
CIEN,US,0.050100,Ciena Corp
VOLV-B.ST,SE,0.050100,Volvo AB
ADSK,US,0.050100,Autodesk Inc
CABK.MC,ES,0.050100,CaixaBank SA
AME,US,0.050000,AMETEK Inc
OR.PA,FR,0.049700,L'Oreal SA
PRX.AS,NL,0.049400,Prosus NV
F,US,0.049200,Ford Motor Co
NOKIA.HE,FI,0.048600,Nokia Oyj
STT,US,0.048400,State Street Corp
BDX,US,0.048400,Becton Dickinson & Co
VALE3.SA,BR,0.048000,Vale SA
DGE.L,GB,0.047800,Diageo PLC
MET,US,0.047600,MetLife Inc
ENI.MI,IT,0.047500,Eni SpA
CPG.L,GB,0.047500,Compass Group PLC
2303.TW,TW,0.047500,United Microelectronics Corp
CVNA,US,0.047400,Carvana Co
9433.T,JP,0.047300,KDDI Corp
PSA,US,0.047300,Public Storage
EW,US,0.046900,Edwards Lifesciences Corp
AFL,US,0.046800,Aflac Inc
RWE.DE,DE,0.046800,RWE AG
AMP,US,0.046700,Ameriprise Financial Inc
SREN.SW,CH,0.046400,Swiss Re AG
FNV.TO,CA,0.046300,Franco-Nevada Corp
